 ,MON,TUE,WED,THU,FRI,SAT,SUN,,,,,,,,,,,,,,
,,9/1,9/2,9/3,9/4,9/5,9/6,"シーツ配送は
火木土",,,下記の時間はシャワーを含む全てのクリーニングを終わらせている前提,,,,,,,,,,
front 10-19,,Employee 001,Employee 002,Employee 001,Employee 003,Employee 004,Employee 005,,,,ベドメ1人5個の場合：13時30分まで,,,,,,,,,,
front help,,,,,,,,,,,べドメ1人10個の場合：14時30分まで,,,,,,,,,,
memo,,,,,,,,,,,べドメ1人15個の場合：15時まで,,,,,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,,Employee 006,Employee 003,Employee 003,Employee 002,Employee 006,Employee 004,,,,,Total,F,C,N,メモ,フリー宿泊,使用済み,残り,,
Clean B,,Employee 002,Employee 007,Employee 006,Employee 005,Employee 005,,,,,Employee 001,18,15,0,3,,,,,,
clean help,,,,,,,,,,CN,Employee 015,0,0,0,0,,,,,,
宿直(19-10),,Employee 006,Employee 004,Employee 006,Employee 004,Employee 006,Employee 008,,,CFN,Employee 010,5,1,3,1,,,,,,
,9/7,9/8,9/9,9/10,9/11,9/12,9/13,,,CFN,Employee 004,12,4,5,3,,,,,,
front 10-19,Employee 007,Employee 001,Employee 001,Employee 001,Employee 009,Employee 001,Employee 001,,,CFN,Employee 012,7,1,0,6,,,,,,
,,,,,,,,,,CFN,Employee 002,11,4,5,2,,,,,,
memo,,,,,,,,,,CFN,Employee 008,5,0,2,3,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,Employee 010,Employee 003,Employee 006,Employee 003,Employee 003,Employee 008,Employee 011,,,CFN,Employee 003,11,1,10,0,,,,,,
Clean B,Employee 004,Employee 010,Employee 002,Employee 011,Employee 002,Employee 010,Employee 005,,,C,Employee 016,0,0,0,0,,,,,,
clean help,,,,,,,,,,C,Employee 017,0,0,0,0,,,,,,
宿直(19-10),Employee 002,Employee 012,Employee 010,Employee 012,Employee 011,Employee 012,Employee 011,,,CFN,Employee 014,4,0,4,0,,,,,,
,9/14,9/15,9/16,9/17,9/18,9/19,9/20,,,C,Employee 018,0,0,0,0,,,,,,
front 10-19,Employee 001,Employee 009,Employee 002,Employee 001,Employee 002,Employee 001,Employee 001,,,C,Employee 007,4,1,3,0,,,,,,
front help,,,,,,,,,,CFN,Employee 011,8,0,4,4,,,,,,
memo,,,,,,,,,,CFN,Employee 009,3,2,1,0,,,,,,
社員事務作業,,,,,,,,,,,,,,,,,,,,,
Clean A,Employee 006,Employee 013,Employee 007,Employee 003,Employee 013,Employee 013,Employee 013, ,,CFN,Employee 006,16,0,9,7,,,,,,
